name,dur,op_name,input_type_shape,output_type_shape
QLinearConv_token_811_kernel_time,365,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_814_kernel_time,197,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [1024]}, {""int8"": [1024]}, {""float"": []}, {""uint8"": []}, {""int32"": [1024]}]","[{""uint8"": [1, 14, 14, 1024]}]"
resnetv17_stage3__plus5_quant_kernel_time,48,QLinearAdd,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 14, 14, 1024]}]"
QLinearConv_token_827_kernel_time,491,QLinearConv,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": [2048]}, {""int8"": [2048]}, {""float"": []}, {""uint8"": []}, {""int32"": [2048]}]","[{""uint8"": [1, 7, 7, 2048]}]"
QLinearConv_token_818_kernel_time,128,QLinearConv,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 7, 7, 512]}]"
QLinearConv_token_821_kernel_time,520,QLinearConv,"[{""uint8"": [1, 7, 7, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 7, 7, 512]}]"
QLinearConv_token_824_kernel_time,265,QLinearConv,"[{""uint8"": [1, 7, 7, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [2048]}, {""int8"": [2048]}, {""float"": []}, {""uint8"": []}, {""int32"": [2048]}]","[{""uint8"": [1, 7, 7, 2048]}]"
resnetv17_stage4__plus0_quant_kernel_time,47,QLinearAdd,"[{""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 7, 7, 2048]}]"
QLinearConv_token_831_kernel_time,236,QLinearConv,"[{""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 7, 7, 512]}]"
QLinearConv_token_834_kernel_time,518,QLinearConv,"[{""uint8"": [1, 7, 7, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 7, 7, 512]}]"
QLinearConv_token_837_kernel_time,253,QLinearConv,"[{""uint8"": [1, 7, 7, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [2048]}, {""int8"": [2048]}, {""float"": []}, {""uint8"": []}, {""int32"": [2048]}]","[{""uint8"": [1, 7, 7, 2048]}]"
resnetv17_stage4__plus1_quant_kernel_time,47,QLinearAdd,"[{""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 7, 7, 2048]}]"
QLinearConv_token_841_kernel_time,237,QLinearConv,"[{""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 7, 7, 512]}]"
QLinearConv_token_844_kernel_time,525,QLinearConv,"[{""uint8"": [1, 7, 7, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 7, 7, 512]}]"
QLinearConv_token_847_kernel_time,253,QLinearConv,"[{""uint8"": [1, 7, 7, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [2048]}, {""int8"": [2048]}, {""float"": []}, {""uint8"": []}, {""int32"": [2048]}]","[{""uint8"": [1, 7, 7, 2048]}]"
resnetv17_stage4__plus2_quant_kernel_time,48,QLinearAdd,"[{""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 7, 7, 2048]}]"
resnetv17_pool1_fwd_quant_kernel_time,49,QLinearGlobalAveragePool,"[{""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 1, 1, 2048]}]"
Transpose_token_866_kernel_time,7,Transpose,"[{""uint8"": [1, 1, 1, 2048]}]","[{""uint8"": [1, 2048, 1, 1]}]"
resnetv17_pool1_fwd_DequantizeLinear_kernel_time,9,DequantizeLinear,"[{""uint8"": [1, 2048, 1, 1]}, {""float"": []}, {""uint8"": []}]","[{""float"": [1, 2048, 1, 1]}]"
flatten_473_kernel_time,6,Flatten,"[{""float"": [1, 2048, 1, 1]}]","[{""float"": [1, 2048]}]"
flatten_473_QuantizeLinear_kernel_time,8,QuantizeLinear,"[{""float"": [1, 2048]}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 2048]}]"
resnetv17_dense0_fwd_MatMul_quant_kernel_time,91,QLinearMatMul,"[{""uint8"": [1, 2048]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""int8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 1000]}]"
resnetv17_dense0_fwd_Add_quant_kernel_time,11,QLinearAdd,"[{""uint8"": [1, 1000]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1000]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 1000]}]"
resnetv17_dense0_fwd_DequantizeLinear_kernel_time,9,DequantizeLinear,"[{""uint8"": [1, 1000]}, {""float"": []}, {""uint8"": []}]","[{""float"": [1, 1000]}]"
SequentialExecutor::Execute,17829,,[],[]
model_run,17885,,[],[]
data_QuantizeLinear_kernel_time,52,QuantizeLinear,"[{""float"": [1, 3, 224, 224]}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 3, 224, 224]}]"
Transpose_kernel_time,60,Transpose,"[{""uint8"": [1, 3, 224, 224]}]","[{""uint8"": [1, 224, 224, 3]}]"
QLinearConv_kernel_time,923,QLinearConv,"[{""uint8"": [1, 224, 224, 3]}, {""float"": []}, {""uint8"": []}, {""float"": [64]}, {""int8"": [64]}, {""float"": []}, {""uint8"": []}, {""int32"": [64]}]","[{""uint8"": [1, 112, 112, 64]}]"
NhwcMaxPool_kernel_time,75,NhwcMaxPool,"[{""uint8"": [1, 112, 112, 64]}]","[{""uint8"": [1, 56, 56, 64]}]"
QLinearConv_token_688_kernel_time,362,QLinearConv,"[{""uint8"": [1, 56, 56, 64]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 56, 56, 256]}]"
QLinearConv_token_679_kernel_time,93,QLinearConv,"[{""uint8"": [1, 56, 56, 64]}, {""float"": []}, {""uint8"": []}, {""float"": [64]}, {""int8"": [64]}, {""float"": []}, {""uint8"": []}, {""int32"": [64]}]","[{""uint8"": [1, 56, 56, 64]}]"
QLinearConv_token_682_kernel_time,450,QLinearConv,"[{""uint8"": [1, 56, 56, 64]}, {""float"": []}, {""uint8"": []}, {""float"": [64]}, {""int8"": [64]}, {""float"": []}, {""uint8"": []}, {""int32"": [64]}]","[{""uint8"": [1, 56, 56, 64]}]"
QLinearConv_token_685_kernel_time,381,QLinearConv,"[{""uint8"": [1, 56, 56, 64]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 56, 56, 256]}]"
resnetv17_stage1__plus0_quant_kernel_time,171,QLinearAdd,"[{""uint8"": [1, 56, 56, 256]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 56, 56, 256]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 56, 56, 256]}]"
QLinearConv_token_692_kernel_time,183,QLinearConv,"[{""uint8"": [1, 56, 56, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [64]}, {""int8"": [64]}, {""float"": []}, {""uint8"": []}, {""int32"": [64]}]","[{""uint8"": [1, 56, 56, 64]}]"
QLinearConv_token_695_kernel_time,440,QLinearConv,"[{""uint8"": [1, 56, 56, 64]}, {""float"": []}, {""uint8"": []}, {""float"": [64]}, {""int8"": [64]}, {""float"": []}, {""uint8"": []}, {""int32"": [64]}]","[{""uint8"": [1, 56, 56, 64]}]"
QLinearConv_token_698_kernel_time,371,QLinearConv,"[{""uint8"": [1, 56, 56, 64]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 56, 56, 256]}]"
resnetv17_stage1__plus1_quant_kernel_time,155,QLinearAdd,"[{""uint8"": [1, 56, 56, 256]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 56, 56, 256]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 56, 56, 256]}]"
QLinearConv_token_702_kernel_time,183,QLinearConv,"[{""uint8"": [1, 56, 56, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [64]}, {""int8"": [64]}, {""float"": []}, {""uint8"": []}, {""int32"": [64]}]","[{""uint8"": [1, 56, 56, 64]}]"
QLinearConv_token_705_kernel_time,442,QLinearConv,"[{""uint8"": [1, 56, 56, 64]}, {""float"": []}, {""uint8"": []}, {""float"": [64]}, {""int8"": [64]}, {""float"": []}, {""uint8"": []}, {""int32"": [64]}]","[{""uint8"": [1, 56, 56, 64]}]"
QLinearConv_token_708_kernel_time,370,QLinearConv,"[{""uint8"": [1, 56, 56, 64]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 56, 56, 256]}]"
resnetv17_stage1__plus2_quant_kernel_time,155,QLinearAdd,"[{""uint8"": [1, 56, 56, 256]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 56, 56, 256]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 56, 56, 256]}]"
QLinearConv_token_721_kernel_time,336,QLinearConv,"[{""uint8"": [1, 56, 56, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 28, 28, 512]}]"
QLinearConv_token_712_kernel_time,102,QLinearConv,"[{""uint8"": [1, 56, 56, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [128]}, {""int8"": [128]}, {""float"": []}, {""uint8"": []}, {""int32"": [128]}]","[{""uint8"": [1, 28, 28, 128]}]"
QLinearConv_token_715_kernel_time,347,QLinearConv,"[{""uint8"": [1, 28, 28, 128]}, {""float"": []}, {""uint8"": []}, {""float"": [128]}, {""int8"": [128]}, {""float"": []}, {""uint8"": []}, {""int32"": [128]}]","[{""uint8"": [1, 28, 28, 128]}]"
QLinearConv_token_718_kernel_time,207,QLinearConv,"[{""uint8"": [1, 28, 28, 128]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 28, 28, 512]}]"
resnetv17_stage2__plus0_quant_kernel_time,84,QLinearAdd,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 28, 28, 512]}]"
QLinearConv_token_725_kernel_time,155,QLinearConv,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [128]}, {""int8"": [128]}, {""float"": []}, {""uint8"": []}, {""int32"": [128]}]","[{""uint8"": [1, 28, 28, 128]}]"
QLinearConv_token_728_kernel_time,336,QLinearConv,"[{""uint8"": [1, 28, 28, 128]}, {""float"": []}, {""uint8"": []}, {""float"": [128]}, {""int8"": [128]}, {""float"": []}, {""uint8"": []}, {""int32"": [128]}]","[{""uint8"": [1, 28, 28, 128]}]"
QLinearConv_token_731_kernel_time,207,QLinearConv,"[{""uint8"": [1, 28, 28, 128]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 28, 28, 512]}]"
resnetv17_stage2__plus1_quant_kernel_time,82,QLinearAdd,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 28, 28, 512]}]"
QLinearConv_token_735_kernel_time,163,QLinearConv,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [128]}, {""int8"": [128]}, {""float"": []}, {""uint8"": []}, {""int32"": [128]}]","[{""uint8"": [1, 28, 28, 128]}]"
QLinearConv_token_738_kernel_time,346,QLinearConv,"[{""uint8"": [1, 28, 28, 128]}, {""float"": []}, {""uint8"": []}, {""float"": [128]}, {""int8"": [128]}, {""float"": []}, {""uint8"": []}, {""int32"": [128]}]","[{""uint8"": [1, 28, 28, 128]}]"
QLinearConv_token_741_kernel_time,207,QLinearConv,"[{""uint8"": [1, 28, 28, 128]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 28, 28, 512]}]"
resnetv17_stage2__plus2_quant_kernel_time,82,QLinearAdd,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 28, 28, 512]}]"
QLinearConv_token_745_kernel_time,155,QLinearConv,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [128]}, {""int8"": [128]}, {""float"": []}, {""uint8"": []}, {""int32"": [128]}]","[{""uint8"": [1, 28, 28, 128]}]"
QLinearConv_token_748_kernel_time,345,QLinearConv,"[{""uint8"": [1, 28, 28, 128]}, {""float"": []}, {""uint8"": []}, {""float"": [128]}, {""int8"": [128]}, {""float"": []}, {""uint8"": []}, {""int32"": [128]}]","[{""uint8"": [1, 28, 28, 128]}]"
QLinearConv_token_751_kernel_time,205,QLinearConv,"[{""uint8"": [1, 28, 28, 128]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 28, 28, 512]}]"
resnetv17_stage2__plus3_quant_kernel_time,82,QLinearAdd,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 28, 28, 512]}]"
QLinearConv_token_764_kernel_time,351,QLinearConv,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [1024]}, {""int8"": [1024]}, {""float"": []}, {""uint8"": []}, {""int32"": [1024]}]","[{""uint8"": [1, 14, 14, 1024]}]"
QLinearConv_token_755_kernel_time,102,QLinearConv,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_758_kernel_time,368,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_761_kernel_time,196,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [1024]}, {""int8"": [1024]}, {""float"": []}, {""uint8"": []}, {""int32"": [1024]}]","[{""uint8"": [1, 14, 14, 1024]}]"
resnetv17_stage3__plus0_quant_kernel_time,49,QLinearAdd,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 14, 14, 1024]}]"
QLinearConv_token_768_kernel_time,169,QLinearConv,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_771_kernel_time,366,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_774_kernel_time,197,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [1024]}, {""int8"": [1024]}, {""float"": []}, {""uint8"": []}, {""int32"": [1024]}]","[{""uint8"": [1, 14, 14, 1024]}]"
resnetv17_stage3__plus1_quant_kernel_time,48,QLinearAdd,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 14, 14, 1024]}]"
QLinearConv_token_778_kernel_time,170,QLinearConv,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_781_kernel_time,363,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_784_kernel_time,197,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [1024]}, {""int8"": [1024]}, {""float"": []}, {""uint8"": []}, {""int32"": [1024]}]","[{""uint8"": [1, 14, 14, 1024]}]"
resnetv17_stage3__plus2_quant_kernel_time,48,QLinearAdd,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 14, 14, 1024]}]"
QLinearConv_token_788_kernel_time,170,QLinearConv,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_791_kernel_time,368,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_794_kernel_time,198,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [1024]}, {""int8"": [1024]}, {""float"": []}, {""uint8"": []}, {""int32"": [1024]}]","[{""uint8"": [1, 14, 14, 1024]}]"
resnetv17_stage3__plus3_quant_kernel_time,48,QLinearAdd,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 14, 14, 1024]}]"
QLinearConv_token_798_kernel_time,170,QLinearConv,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_801_kernel_time,363,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_804_kernel_time,195,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [1024]}, {""int8"": [1024]}, {""float"": []}, {""uint8"": []}, {""int32"": [1024]}]","[{""uint8"": [1, 14, 14, 1024]}]"
resnetv17_stage3__plus4_quant_kernel_time,48,QLinearAdd,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 14, 14, 1024]}]"
QLinearConv_token_808_kernel_time,168,QLinearConv,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_811_kernel_time,366,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_814_kernel_time,197,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [1024]}, {""int8"": [1024]}, {""float"": []}, {""uint8"": []}, {""int32"": [1024]}]","[{""uint8"": [1, 14, 14, 1024]}]"
resnetv17_stage3__plus5_quant_kernel_time,48,QLinearAdd,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 14, 14, 1024]}]"
QLinearConv_token_827_kernel_time,495,QLinearConv,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": [2048]}, {""int8"": [2048]}, {""float"": []}, {""uint8"": []}, {""int32"": [2048]}]","[{""uint8"": [1, 7, 7, 2048]}]"
QLinearConv_token_818_kernel_time,130,QLinearConv,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 7, 7, 512]}]"
QLinearConv_token_821_kernel_time,522,QLinearConv,"[{""uint8"": [1, 7, 7, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 7, 7, 512]}]"
QLinearConv_token_824_kernel_time,252,QLinearConv,"[{""uint8"": [1, 7, 7, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [2048]}, {""int8"": [2048]}, {""float"": []}, {""uint8"": []}, {""int32"": [2048]}]","[{""uint8"": [1, 7, 7, 2048]}]"
resnetv17_stage4__plus0_quant_kernel_time,47,QLinearAdd,"[{""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 7, 7, 2048]}]"
QLinearConv_token_831_kernel_time,233,QLinearConv,"[{""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 7, 7, 512]}]"
QLinearConv_token_834_kernel_time,517,QLinearConv,"[{""uint8"": [1, 7, 7, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 7, 7, 512]}]"
QLinearConv_token_837_kernel_time,254,QLinearConv,"[{""uint8"": [1, 7, 7, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [2048]}, {""int8"": [2048]}, {""float"": []}, {""uint8"": []}, {""int32"": [2048]}]","[{""uint8"": [1, 7, 7, 2048]}]"
